Year,Week,Department,Product_ID,Product_Description,Brand,Product_Group,Sales_Cost,Units_Sold,Total_Sales
2024,52,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12480.24,8,17976.33
2024,53,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6240.12,4,8927.85
2025,1,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6361.8761904762,4,9169.13
2025,2,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,11133.2833333333,7,15925.34
2025,3,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,11133.2833333333,7,16528.57
2025,4,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3180.9380952381,2,4584.57
2025,5,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3180.9380952381,10,23526.08
2025,6,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,,2,4825.86
2025,7,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,,7,16045.98
2025,8,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,,3,7118.14
2025,9,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7889.0364864865,7,16407.93
2025,10,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1577.8072972973,1,2930.17
2025,10,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7889.0364864865,5,11823.35
2025,11,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1577.8072972973,1,2637.16
2025,11,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,20511.4948648649,13,30764.85
2025,12,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,9466.8437837838,6,14356.93
